regime,n_expiries,avg_atm_iv_pct,ssvi_rho,ssvi_eta,surface_rmse_vol_points,median_slice_rmse_vol_points,calendar_violations,butterfly_violations_ssvi,butterfly_violations_svi_slices,parity_median_rmse_bp,avg_atm_relative_spread_bp,shortest_dte_iv_pct
calm,10,13.823002692904819,-0.3610666121049858,0.8120916122276812,0.10481760459253148,0.0851848295381736,0,0,0,0.004740682146201353,40.87281082428928,13.243448448023406
stressed,10,29.97634265011271,-0.8394443979006985,0.653099649377683,0.10349352527903827,0.08697551561324099,0,0,0,0.005063232572705671,81.59769571588451,33.28269683914693
