dte,T,forward,a,b,rho,m,sigma,rmse_vol_points,w_rmse,n_quotes,n_starts_tried,best_start_index,butterfly_min_g
14.0,0.038356164383561646,5002.877660640224,0.003395156623873313,0.001717975265171543,-0.23918970273821324,0.20661757507645212,0.04130219165059181,0.06424605279072201,1.5819194018224615e-05,15,8,0,0.7946638350486053
21.0,0.057534246575342465,5004.316917532953,0.005073831167070007,0.004012574674368266,0.19458467035438687,0.18802292006352062,0.0099668736378692,0.07062507135987024,2.5520152363653042e-05,17,8,5,0.6677305333252336
35.0,0.0958904109589041,5007.196821644218,0.007454627204998365,0.004006625379142356,-0.3877555146930719,0.30894406866222063,0.13313307320529966,0.11298842337591246,6.851342310313598e-05,15,8,3,0.7830682159508255
49.0,0.13424657534246576,5010.077688742448,0.007738620712724176,0.005005652939179494,-0.9987209508804838,0.3069354251579382,0.6148066475468578,0.0898218735997939,7.573499290533312e-05,17,8,7,0.7509737468800675
70.0,0.1917808219178082,5014.404490829841,0.012340196021776398,0.005402914150538119,-0.9297560682533269,0.49999999999999994,0.2049743858531676,0.0823255239909231,9.720134956541833e-05,16,8,6,0.7861902754404712
91.0,0.2493150684931507,5018.733109456096,0.0036262576650598222,0.01714090832489764,-0.9989995765812081,-0.4098683104329588,1.4545228019523484,0.08120407503741252,0.00012277494825299652,17,8,3,0.7242673433787519
133.0,0.3643835616438356,5027.403097904321,0.028945534222596825,0.008468586578734536,-0.9989999999038776,0.1482501452812998,0.015122750168258538,0.0854746944599605,0.00018534381737946335,15,8,5,0.7974289120020448
182.0,0.4986301369863014,5037.536875250961,0.03761647809742101,0.01819690647224666,-0.3003980154687452,0.16414640331220098,0.027246809586622883,0.08847633676652146,0.00025558875111592435,16,8,3,0.7879892923836402
273.0,0.7479452054794521,5056.41298757473,0.04532493276493909,0.022149038076679284,-0.4295889650829721,0.43393770808002124,0.0001671943521818174,0.1313720252872057,0.0005583101585099017,15,8,3,0.796378114216249
350.0,0.958904109589041,5072.437312533472,0.05302341813786905,0.02169001383985248,-0.8999435570776625,0.4999701346213747,0.00010000309304748187,0.11403772105951654,0.000597064928208663,17,8,7,0.788680143716231
