dte,T,n_violations,min_g,worst_k
14.0,0.038356164383561646,0,0.7946638350486053,-0.5
21.0,0.057534246575342465,0,0.6677305333252336,0.5
35.0,0.0958904109589041,0,0.7830682159508255,-0.5
49.0,0.13424657534246576,0,0.7509737468800675,-0.5
70.0,0.1917808219178082,0,0.7861902754404712,-0.5
91.0,0.2493150684931507,0,0.7242673433787519,-0.5
133.0,0.3643835616438356,0,0.7974289120020448,-0.5
182.0,0.4986301369863014,0,0.7879892923836402,-0.5
273.0,0.7479452054794521,0,0.796378114216249,-0.5
350.0,0.958904109589041,0,0.788680143716231,-0.5
