dte,T,forward,parity_rmse_bp,n_quotes
14.0,0.038356164383561646,5002.877660640224,0.005464004450965554,15
21.0,0.057534246575342465,5004.316917532953,0.0048002118075245355,17
35.0,0.0958904109589041,5007.196821644218,0.006285220776859039,15
49.0,0.13424657534246576,5010.077688742448,0.004696078320562236,17
70.0,0.1917808219178082,5014.404490829841,0.004251477874717627,16
91.0,0.2493150684931507,5018.733109456096,0.006004019555632131,17
133.0,0.3643835616438356,5027.403097904321,0.005326253337886807,15
182.0,0.4986301369863014,5037.536875250961,0.004488641697268339,16
273.0,0.7479452054794521,5056.41298757473,0.0031951346285148357,15
350.0,0.958904109589041,5072.437312533472,0.005619704538306577,17
